phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,203.96666666666667,0.8666666666666667,56.42307692307692,0.8980669348453338,89.21283475519355,30
finetune,15000,15000,203.96666666666667,0.8666666666666667,56.34615384615385,0.8953240044674763,92.57335705688548,30
finetune,30000,30000,211.76666666666668,0.8666666666666667,52.30769230769231,0.9122415246069144,90.18092287493354,30
finetune,45000,45000,211.46666666666667,0.8666666666666667,53.34615384615385,0.9182557544060201,90.04662904461694,30
finetune,60000,60000,214.63333333333333,0.8666666666666667,53.34615384615385,0.9316617213327596,89.54539720677741,30
finetune,75000,75000,218.56666666666666,0.9,58.148148148148145,0.9264674984092193,80.11701930057804,30
finetune,90000,90000,213.06666666666666,0.8666666666666667,54.53846153846154,0.9131257417130095,88.89433220881169,30
finetune,105000,105000,209.73333333333332,0.8666666666666667,59.0,0.9134810535337542,90.26280913335059,30
finetune,120000,120000,213.06666666666666,0.8666666666666667,55.15384615384615,0.9261622160195736,89.35667905620724,30
finetune,135000,135000,214.4,0.8666666666666667,53.61538461538461,0.9263138297828899,89.31293299405186,30
finetune,150000,150000,215.43333333333334,0.8666666666666667,52.42307692307692,0.9295361343210379,89.67976873041226,30
finetune,165000,165000,207.63333333333333,0.8333333333333334,51.84,0.9191685141294613,97.30630037132242,30
finetune,180000,180000,208.76666666666668,0.8333333333333334,50.48,0.9216146105026123,97.78430990894101,30
finetune,195000,195000,207.26666666666668,0.8333333333333334,52.28,0.934983746672527,97.13763194678923,30
finetune,210000,210000,208.93333333333334,0.8333333333333334,50.28,0.9416775750822189,97.62346147256332,30
finetune,225000,225000,208.3,0.8333333333333334,51.04,0.9353160383884839,97.65779450502764,30
finetune,240000,240000,206.4,0.8333333333333334,53.32,0.9306170117178761,97.45895687858592,30
finetune,255000,255000,207.53333333333333,0.8333333333333334,51.96,0.9384808797074995,97.17411792963338,30
finetune,270000,270000,207.76666666666668,0.8333333333333334,51.68,0.9392766997617646,97.09600060421302,30
finetune,285000,285000,209.56666666666666,0.8333333333333334,49.52,0.9439906401077238,97.7225782450022,30
finetune,300000,300000,207.3,0.8333333333333334,52.24,0.9329514402178302,98.49073122853252,30
finetune,300000,300000,206.76666666666668,0.8333333333333334,52.88,0.9293789912528411,96.60002260774111,30
