phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
scratch,0,0,2.433333333333333,0.06666666666666667,64.5,0.8650470620987132,9.305850341302111,30
scratch,16800,16800,21.666666666666668,0.36666666666666664,115.0,0.6056835763150062,51.7142902502969,30
scratch,33600,33600,40.43333333333333,0.43333333333333335,92.23076923076923,0.6511797916089364,65.18868282007308,30
scratch,50400,50400,27.1,0.5,80.4,0.6086360564954636,32.28787537995841,30
scratch,67200,67200,44.666666666666664,0.4666666666666667,145.92857142857142,0.49290648549175564,72.18048897386156,30
scratch,84000,84000,21.366666666666667,0.6,122.44444444444444,0.7559638305152048,25.920945243159068,30
scratch,100800,100800,29.266666666666666,0.4666666666666667,122.71428571428571,0.5524512080541318,37.456119921052014,30
scratch,117600,117600,16.533333333333335,0.36666666666666664,75.36363636363636,0.513319154587157,30.908913270126952,30
scratch,134400,134400,12.8,0.3333333333333333,88.0,0.8000464525594884,25.294677101223737,30
scratch,151200,151200,47.733333333333334,0.8666666666666667,106.5,0.588625507164199,53.06920227292905,30
scratch,168000,168000,71.36666666666666,0.7,105.28571428571429,0.5411475691048332,88.15796297999182,30
scratch,184800,184800,30.933333333333334,0.3,65.55555555555556,0.632079213775825,72.19367310770113,30
scratch,201600,201600,58.36666666666667,0.9333333333333333,84.5,0.6512428661913863,53.554666452612466,30
scratch,218400,218400,67.03333333333333,0.6666666666666666,87.9,0.6334020862349967,73.92516408542811,30
scratch,235200,235200,28.433333333333334,0.6333333333333333,81.15789473684211,0.6349842757943739,43.423879759106434,30
scratch,252000,252000,60.36666666666667,0.7666666666666667,99.8695652173913,0.6328453644151995,68.10158909145666,30
scratch,268800,268800,40.233333333333334,0.7,75.57142857142857,0.7063733678055756,57.27771627438715,30
scratch,285600,285600,39.1,0.5333333333333333,87.0,0.7421733161147155,73.72097909428963,30
scratch,300000,300000,36.166666666666664,0.6,99.72222222222223,0.741722508977615,45.576070046895666,30
