round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
1,2400,2400,0.5,4934.402389526367,51.875,0.5
2,4800,4800,0.4928,55.78092525005341,10.875,0.25
3,7200,7200,0.4856,10.498411786556243,8.25,0.125
4,9600,9600,0.4784,27.533958739042284,16.5,0.375
5,12000,12000,0.4712,10.57161929011345,3.5,0.125
6,14400,14400,0.46399999999999997,19.110836625099182,18.5,0.5
7,16800,16800,0.4568,15.332738018035888,34.875,0.5
8,19200,19200,0.4496,51.03383224010467,11.375,0.125
9,21600,21600,0.4424,19.617561626434327,17.0,0.375
10,24000,24000,0.43520000000000003,6.3417643189430235,14.5,0.375
11,26400,26400,0.428,502.3058324813843,18.0,0.5
12,28800,28800,0.4208,22.63960235118866,23.375,0.625
13,31200,31200,0.41359999999999997,9.475825917720794,32.25,0.875
14,33600,33600,0.4064,10.74537796974182,51.75,0.625
15,36000,36000,0.3992,17.387965440750122,7.375,0.25
16,38400,38400,0.392,13.23838541507721,16.25,0.75
17,40800,40800,0.3848,14.497834038734435,32.375,0.75
18,43200,43200,0.3776,18.44529606103897,13.75,0.25
19,45600,45600,0.3704,12.37754147052765,29.25,0.625
20,48000,48000,0.36319999999999997,16.707007265090944,33.5,0.75
21,50400,50400,0.356,19.806709480285644,10.0,0.375
22,52800,52800,0.3488,11.585593032836915,41.25,0.875
23,55200,55200,0.3416,18.17271327972412,19.5,0.5
24,57600,57600,0.33440000000000003,13.47964961528778,28.25,0.625
25,60000,60000,0.3272,10.335298538208008,24.625,0.625
26,62400,62400,0.31999999999999995,14.26608452796936,24.875,0.5
27,64800,64800,0.31279999999999997,12.605160927772522,25.75,0.625
28,67200,67200,0.3056,15.420020532608032,32.125,0.375
29,69600,69600,0.2984,9.644499433040618,17.625,0.5
30,72000,72000,0.2912,11.491102695465088,8.25,0.375
31,74400,74400,0.28400000000000003,18.284568905830383,16.75,0.375
32,76800,76800,0.2768,7.751887881755829,21.5,0.75
33,79200,79200,0.26959999999999995,21.295937013626098,21.625,0.5
34,81600,81600,0.26239999999999997,13.95603940486908,25.75,0.75
35,84000,84000,0.2552,13.261334443092347,24.25,0.625
36,86400,86400,0.24799999999999994,13.352538514137269,44.75,0.625
37,88800,88800,0.24080000000000001,16.478137135505676,16.25,0.625
38,91200,91200,0.23360000000000003,12.416537535190582,37.875,0.625
39,93600,93600,0.2264,10.834239464998245,37.5,0.75
40,96000,96000,0.2192,20.689796209335327,8.875,0.375
41,98400,98400,0.21199999999999997,16.030655097961425,17.5,0.625
42,100800,100800,0.20479999999999998,11.145410227775574,51.0,0.75
43,103200,103200,0.1976,15.684632873535156,5.625,0.25
44,105600,105600,0.1904,18.806681990623474,23.375,0.5
45,108000,108000,0.18320000000000003,8.907234978675842,28.0,0.75
46,110400,110400,0.176,15.197897469997406,6.625,0.25
47,112800,112800,0.1688,22.765201616287232,18.625,0.625
48,115200,115200,0.16159999999999997,17.09058232307434,42.625,0.625
49,117600,117600,0.15439999999999998,12.483598852157593,22.875,0.5
50,120000,120000,0.1472,14.95181679725647,14.125,0.375
51,122400,122400,0.13999999999999996,17.342433822154998,26.625,0.5
52,124800,124800,0.13280000000000003,19.363077521324158,21.875,0.5
53,127200,127200,0.1256,10.905745816230773,26.875,0.625
54,129600,129600,0.1184,11.198824071884156,32.125,0.75
55,132000,132000,0.11120000000000002,15.970625913143158,35.375,0.375
56,134400,134400,0.10399999999999998,9.200437343120575,12.875,0.5
57,136800,136800,0.0968,8.288318705558776,39.875,1.0
58,139200,139200,0.08959999999999996,10.543306934833527,34.125,0.75
59,141600,141600,0.08239999999999997,20.73937005996704,10.125,0.375
60,144000,144000,0.07519999999999999,13.553217649459839,38.625,0.5
61,146400,146400,0.068,18.597404336929323,2.125,0.125
62,148800,148800,0.06080000000000002,10.480682754516602,12.75,0.5
63,151200,151200,0.05359999999999998,9.895164465904235,12.625,0.5
64,153600,153600,0.04999999999999999,11.645339608192444,37.25,0.75
65,156000,156000,0.04999999999999999,17.18526256084442,29.75,0.625
66,158400,158400,0.04999999999999999,18.265777349472046,6.75,0.375
67,160800,160800,0.04999999999999999,13.697455739974975,14.375,0.625
68,163200,163200,0.04999999999999999,11.33203821182251,15.375,0.5
69,165600,165600,0.04999999999999999,11.71530499458313,20.125,0.5
70,168000,168000,0.04999999999999999,14.94279215335846,42.625,0.625
71,170400,170400,0.04999999999999999,16.214819812774657,21.375,0.625
72,172800,172800,0.04999999999999999,13.75544023513794,30.75,0.625
73,175200,175200,0.04999999999999999,17.181286764144897,28.5,0.625
74,177600,177600,0.04999999999999999,13.433777618408204,35.375,0.625
75,180000,180000,0.04999999999999999,11.386805391311645,21.75,0.625
76,182400,182400,0.04999999999999999,18.093218660354616,28.0,0.5
77,184800,184800,0.04999999999999999,19.78260271549225,25.5,0.375
78,187200,187200,0.04999999999999999,21.163506579399108,45.75,0.625
79,189600,189600,0.04999999999999999,9.413569378852845,38.5,0.625
80,192000,192000,0.04999999999999999,9.39809274673462,41.25,0.625
81,194400,194400,0.04999999999999999,16.267190980911256,62.375,0.625
82,196800,196800,0.04999999999999999,12.626882481575013,39.625,0.75
83,199200,199200,0.04999999999999999,12.958356952667236,53.125,0.75
84,201600,201600,0.04999999999999999,10.77388288974762,27.5,0.75
85,204000,204000,0.04999999999999999,14.05374858379364,23.875,0.75
86,206400,206400,0.04999999999999999,14.18332760334015,12.25,0.5
87,208800,208800,0.04999999999999999,15.15436942577362,31.625,0.5
88,211200,211200,0.04999999999999999,20.98196234703064,11.5,0.375
89,213600,213600,0.04999999999999999,14.308996200561523,17.375,0.5
90,216000,216000,0.04999999999999999,17.968623208999634,28.375,0.625
91,218400,218400,0.04999999999999999,23.970704746246337,15.5,0.5
92,220800,220800,0.04999999999999999,12.367799401283264,6.5,0.125
93,223200,223200,0.04999999999999999,14.313766813278198,27.625,0.5
94,225600,225600,0.04999999999999999,11.966570115089416,32.875,0.75
95,228000,228000,0.04999999999999999,24.194202136993407,32.75,0.5
96,230400,230400,0.04999999999999999,18.199502205848695,18.125,0.375
97,232800,232800,0.04999999999999999,15.23793911933899,17.875,0.375
98,235200,235200,0.04999999999999999,12.887768983840942,24.25,0.5
99,237600,237600,0.04999999999999999,11.672131633758545,20.0,0.625
100,240000,240000,0.04999999999999999,13.56981155872345,32.875,0.625
101,242400,242400,0.04999999999999999,13.272969102859497,30.875,0.625
102,244800,244800,0.04999999999999999,9.176865649223327,60.875,0.875
103,247200,247200,0.04999999999999999,18.242848777770995,28.375,0.5
104,249600,249600,0.04999999999999999,9.463045239448547,42.75,0.875
105,252000,252000,0.04999999999999999,9.74905252456665,46.75,1.0
106,254400,254400,0.04999999999999999,10.057367300987243,18.5,0.625
107,256800,256800,0.04999999999999999,13.996639835834504,37.75,0.75
108,259200,259200,0.04999999999999999,12.162431645393372,40.125,0.875
109,261600,261600,0.04999999999999999,14.42664921283722,13.125,0.5
110,264000,264000,0.04999999999999999,10.362749564647675,20.125,0.5
111,266400,266400,0.04999999999999999,9.360567998886108,34.625,0.75
112,268800,268800,0.04999999999999999,9.585594367980956,25.625,0.625
113,271200,271200,0.04999999999999999,9.330093348026276,35.0,0.75
114,273600,273600,0.04999999999999999,23.250416326522828,25.5,0.75
115,276000,276000,0.04999999999999999,16.19786696434021,38.125,0.5
116,278400,278400,0.04999999999999999,9.677843070030212,66.75,1.0
117,280800,280800,0.04999999999999999,12.265547966957092,24.0,0.5
118,283200,283200,0.04999999999999999,16.40469331741333,39.125,0.5
119,285600,285600,0.04999999999999999,14.906639051437377,10.25,0.375
120,288000,288000,0.04999999999999999,15.76475567817688,10.375,0.5
121,290400,290400,0.04999999999999999,13.011402559280395,36.75,0.625
122,292800,292800,0.04999999999999999,11.336964058876038,45.25,0.875
123,295200,295200,0.04999999999999999,16.864599585533142,34.875,0.625
124,297600,297600,0.04999999999999999,9.790123057365417,32.75,0.625
125,300000,300000,0.04999999999999999,12.960270309448243,54.625,0.75
