round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
1,2400,2400,0.5,4921.957745170594,56.0,0.625
2,4800,4800,0.4928,56.00103387832642,16.75,0.25
3,7200,7200,0.4856,10.58532581925392,19.625,0.75
4,9600,9600,0.4784,15.375754642486573,26.875,0.625
5,12000,12000,0.4712,10.22836811542511,36.625,0.625
6,14400,14400,0.46399999999999997,12.19656287431717,22.5,0.5
7,16800,16800,0.4568,9.413164365291596,8.625,0.375
8,19200,19200,0.4496,9.736640810966492,33.375,0.625
9,21600,21600,0.4424,8.504669904708862,72.375,0.875
10,24000,24000,0.43520000000000003,5.584153085947037,49.625,0.625
11,26400,26400,0.428,30.360962677001954,39.375,0.5
12,28800,28800,0.4208,10.369208407402038,31.0,0.5
13,31200,31200,0.41359999999999997,213.0531691431999,48.125,0.75
14,33600,33600,0.4064,18.666370487213136,28.75,0.75
15,36000,36000,0.3992,13.963273358345031,31.0,0.625
16,38400,38400,0.392,18.54628281593323,11.125,0.5
17,40800,40800,0.3848,9.834695148468018,39.5,0.875
18,43200,43200,0.3776,10.303376865386962,54.25,0.625
19,45600,45600,0.3704,11.845491981506347,46.5,0.625
20,48000,48000,0.36319999999999997,14.556971907615662,27.75,0.375
21,50400,50400,0.356,26.02754125595093,30.75,0.375
22,52800,52800,0.3488,27.4730046749115,57.75,0.75
23,55200,55200,0.3416,17.40456199645996,10.625,0.375
24,57600,57600,0.33440000000000003,25.690295600891112,27.0,0.5
25,60000,60000,0.3272,18.882757163047792,38.625,0.75
26,62400,62400,0.31999999999999995,20.650560426712037,12.125,0.25
27,64800,64800,0.31279999999999997,12.123179495334625,45.0,0.75
28,67200,67200,0.3056,18.921041917800903,17.375,0.375
29,69600,69600,0.2984,15.211859798431396,33.5,0.75
30,72000,72000,0.2912,17.520216131210326,15.0,0.375
31,74400,74400,0.28400000000000003,11.584928131103515,50.625,0.75
32,76800,76800,0.2768,13.405697286128998,31.375,0.5
33,79200,79200,0.26959999999999995,18.98454065322876,28.375,0.625
34,81600,81600,0.26239999999999997,17.138236832618713,33.25,0.625
35,84000,84000,0.2552,10.105706322193146,38.25,0.75
36,86400,86400,0.24799999999999994,17.731891202926636,27.25,0.5
37,88800,88800,0.24080000000000001,15.847114610671998,10.75,0.5
38,91200,91200,0.23360000000000003,17.46942024230957,20.75,0.5
39,93600,93600,0.2264,13.636217212677002,44.625,0.875
40,96000,96000,0.2192,13.306245374679566,32.375,0.75
41,98400,98400,0.21199999999999997,19.504048824310303,20.625,0.625
42,100800,100800,0.20479999999999998,22.36662883758545,8.5,0.375
43,103200,103200,0.1976,13.743804502487183,100.125,1.0
44,105600,105600,0.1904,15.169089937210083,41.0,0.625
45,108000,108000,0.18320000000000003,24.086237525939943,12.875,0.375
46,110400,110400,0.176,12.936307048797607,34.625,0.875
47,112800,112800,0.1688,16.20424919128418,20.25,0.5
48,115200,115200,0.16159999999999997,10.75230073928833,26.75,0.75
49,117600,117600,0.15439999999999998,12.716702604293824,24.0,0.625
50,120000,120000,0.1472,14.718332815170289,19.625,0.5
51,122400,122400,0.13999999999999996,15.611228418350219,31.875,0.75
52,124800,124800,0.13280000000000003,18.96741545200348,29.25,0.625
53,127200,127200,0.1256,13.991777348518372,38.75,0.625
54,129600,129600,0.1184,12.998711228370667,40.375,0.625
55,132000,132000,0.11120000000000002,12.562800860404968,43.0,0.75
56,134400,134400,0.10399999999999998,13.775073552131653,39.0,0.875
57,136800,136800,0.0968,14.024892878532409,29.75,0.5
58,139200,139200,0.08959999999999996,21.038100552558898,32.5,0.5
59,141600,141600,0.08239999999999997,12.345060539245605,31.5,0.625
60,144000,144000,0.07519999999999999,16.739039301872253,45.375,0.875
61,146400,146400,0.068,15.436653089523315,24.5,0.625
62,148800,148800,0.06080000000000002,12.86011278629303,35.875,0.75
63,151200,151200,0.05359999999999998,23.522904443740845,10.375,0.5
64,153600,153600,0.04999999999999999,20.665837240219116,9.25,0.25
65,156000,156000,0.04999999999999999,14.739910078048705,17.125,0.375
66,158400,158400,0.04999999999999999,23.756952047348022,61.125,0.75
67,160800,160800,0.04999999999999999,18.034489893913268,33.75,0.75
68,163200,163200,0.04999999999999999,12.512833499908448,45.125,0.875
69,165600,165600,0.04999999999999999,9.448203468322754,44.0,1.0
70,168000,168000,0.04999999999999999,13.498370099067689,29.5,0.75
71,170400,170400,0.04999999999999999,17.222362279891968,37.875,0.625
72,172800,172800,0.04999999999999999,14.828726434707642,26.0,0.625
73,175200,175200,0.04999999999999999,14.650552773475647,37.0,0.625
74,177600,177600,0.04999999999999999,18.083985614776612,36.5,0.625
75,180000,180000,0.04999999999999999,15.741463446617127,45.375,0.625
76,182400,182400,0.04999999999999999,12.534040999412536,30.625,0.75
77,184800,184800,0.04999999999999999,22.770655488967897,10.5,0.375
78,187200,187200,0.04999999999999999,14.738749718666076,31.125,0.75
79,189600,189600,0.04999999999999999,13.666258144378663,24.875,0.75
80,192000,192000,0.04999999999999999,12.729428219795228,35.875,0.625
81,194400,194400,0.04999999999999999,15.90770263671875,28.0,0.625
82,196800,196800,0.04999999999999999,15.700666260719299,37.5,0.75
83,199200,199200,0.04999999999999999,11.898747324943542,47.0,0.75
84,201600,201600,0.04999999999999999,11.79478703737259,76.375,0.875
85,204000,204000,0.04999999999999999,17.841621565818787,16.375,0.375
86,206400,206400,0.04999999999999999,16.010559105873106,57.5,0.75
87,208800,208800,0.04999999999999999,20.72797064781189,40.125,0.5
88,211200,211200,0.04999999999999999,12.52131221294403,38.25,0.875
89,213600,213600,0.04999999999999999,9.905883252620697,33.0,1.0
90,216000,216000,0.04999999999999999,7.861184358596802,44.75,0.875
91,218400,218400,0.04999999999999999,15.183767080307007,30.875,0.625
92,220800,220800,0.04999999999999999,11.304581367969513,55.125,0.875
93,223200,223200,0.04999999999999999,13.568247985839843,40.25,0.75
94,225600,225600,0.04999999999999999,13.590022945404053,26.5,0.625
95,228000,228000,0.04999999999999999,16.49381103515625,81.5,0.625
96,230400,230400,0.04999999999999999,14.998756074905396,19.625,0.75
97,232800,232800,0.04999999999999999,11.239541268348693,16.75,0.75
98,235200,235200,0.04999999999999999,12.688390326499938,33.875,0.75
99,237600,237600,0.04999999999999999,10.136993789672852,41.625,1.0
100,240000,240000,0.04999999999999999,19.056989550590515,37.875,0.875
101,242400,242400,0.04999999999999999,14.097705554962157,21.75,0.5
102,244800,244800,0.04999999999999999,15.632138013839722,68.0,0.75
103,247200,247200,0.04999999999999999,14.785446500778198,35.0,0.875
104,249600,249600,0.04999999999999999,13.47206175327301,26.625,0.5
105,252000,252000,0.04999999999999999,16.785553526878356,44.0,0.625
106,254400,254400,0.04999999999999999,13.10446891784668,32.5,0.75
107,256800,256800,0.04999999999999999,19.670542502403258,25.75,0.5
108,259200,259200,0.04999999999999999,15.949316048622132,44.875,0.625
109,261600,261600,0.04999999999999999,8.309341979026794,58.875,1.0
110,264000,264000,0.04999999999999999,20.063738965988158,30.125,0.5
111,266400,266400,0.04999999999999999,12.153087282180786,23.25,0.5
112,268800,268800,0.04999999999999999,17.161100959777833,23.75,0.625
113,271200,271200,0.04999999999999999,16.143917298316957,38.625,0.875
114,273600,273600,0.04999999999999999,16.041151905059813,34.625,0.75
115,276000,276000,0.04999999999999999,12.427686834335328,41.25,0.75
116,278400,278400,0.04999999999999999,11.344716501235961,60.5,0.5
117,280800,280800,0.04999999999999999,16.851777505874633,40.75,0.625
118,283200,283200,0.04999999999999999,12.969280564785004,24.375,0.625
119,285600,285600,0.04999999999999999,14.982579231262207,43.625,0.625
120,288000,288000,0.04999999999999999,14.412449288368226,15.0,0.375
121,290400,290400,0.04999999999999999,10.88214406967163,59.125,0.75
122,292800,292800,0.04999999999999999,17.681764698028566,50.25,0.75
123,295200,295200,0.04999999999999999,10.357780051231384,10.75,0.375
124,297600,297600,0.04999999999999999,11.374214172363281,42.25,1.0
125,300000,300000,0.04999999999999999,12.517321753501893,20.625,0.625
