round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
49,117600,117600,0.15439999999999998,17.203303599357604,21.75,0.375
50,120000,120000,0.1472,17.603596663475038,16.875,0.625
51,122400,122400,0.13999999999999996,22.343353033065796,16.75,0.25
52,124800,124800,0.13280000000000003,27.22401041984558,32.0,0.875
53,127200,127200,0.1256,14.998622632026672,13.0,0.25
54,129600,129600,0.1184,18.29591507911682,14.0,0.25
55,132000,132000,0.11120000000000002,14.608335947990417,36.0,0.5
56,134400,134400,0.10399999999999998,18.81187148094177,22.625,0.5
57,136800,136800,0.0968,17.433372735977173,15.25,0.5
58,139200,139200,0.08959999999999996,17.225056958198547,33.5,0.75
59,141600,141600,0.08239999999999997,13.338037657737733,40.375,0.5
60,144000,144000,0.07519999999999999,13.47597827911377,35.625,0.5
61,146400,146400,0.068,12.10290231704712,38.25,0.625
62,148800,148800,0.06080000000000002,16.36224846839905,10.0,0.5
63,151200,151200,0.05359999999999998,9.78190712928772,24.875,0.625
64,153600,153600,0.04999999999999999,11.191495800018311,50.75,0.75
65,156000,156000,0.04999999999999999,16.923739552497864,39.0,0.375
66,158400,158400,0.04999999999999999,18.26658594608307,28.5,0.5
67,160800,160800,0.04999999999999999,9.676620173454285,49.875,0.875
68,163200,163200,0.04999999999999999,15.278101491928101,35.25,0.625
69,165600,165600,0.04999999999999999,14.048609805107116,28.875,0.75
70,168000,168000,0.04999999999999999,14.096242928504944,25.5,0.5
71,170400,170400,0.04999999999999999,13.69480504989624,26.375,0.625
72,172800,172800,0.04999999999999999,18.198115825653076,11.125,0.5
73,175200,175200,0.04999999999999999,14.206221723556519,23.375,0.625
74,177600,177600,0.04999999999999999,13.552157425880432,45.25,0.75
75,180000,180000,0.04999999999999999,10.199623966217041,17.625,0.5
76,182400,182400,0.04999999999999999,20.668118929862977,45.0,0.75
77,184800,184800,0.04999999999999999,18.159714937210083,20.625,0.375
78,187200,187200,0.04999999999999999,14.380418181419373,21.5,0.625
79,189600,189600,0.04999999999999999,13.76363627910614,17.25,0.375
80,192000,192000,0.04999999999999999,11.45062289237976,33.0,0.625
81,194400,194400,0.04999999999999999,17.81735053062439,34.375,0.75
82,196800,196800,0.04999999999999999,14.570743465423584,31.625,0.5
83,199200,199200,0.04999999999999999,19.422191619873047,18.125,0.375
84,201600,201600,0.04999999999999999,13.312550950050355,39.125,0.625
85,204000,204000,0.04999999999999999,10.885266280174255,33.75,0.5
86,206400,206400,0.04999999999999999,16.68959460258484,50.25,0.625
87,208800,208800,0.04999999999999999,19.50351288318634,33.375,0.625
88,211200,211200,0.04999999999999999,21.956016612052917,30.0,0.5
89,213600,213600,0.04999999999999999,17.72931637763977,26.0,0.625
90,216000,216000,0.04999999999999999,15.473164606094361,17.25,0.25
91,218400,218400,0.04999999999999999,14.48899004459381,31.125,0.75
92,220800,220800,0.04999999999999999,22.21447925567627,35.5,0.5
93,223200,223200,0.04999999999999999,11.267440557479858,8.375,0.375
94,225600,225600,0.04999999999999999,10.026584935188293,46.125,0.625
95,228000,228000,0.04999999999999999,11.55004370212555,39.0,0.5
96,230400,230400,0.04999999999999999,16.065021800994874,21.125,0.625
97,232800,232800,0.04999999999999999,10.888375306129456,65.5,0.875
98,235200,235200,0.04999999999999999,13.492757487297059,37.75,0.875
99,237600,237600,0.04999999999999999,11.082733511924744,62.5,0.75
100,240000,240000,0.04999999999999999,12.40104079246521,43.875,0.75
101,242400,242400,0.04999999999999999,14.437284207344055,56.875,0.875
102,244800,244800,0.04999999999999999,14.968782711029053,58.0,0.875
103,247200,247200,0.04999999999999999,18.486068773269654,50.125,0.625
104,249600,249600,0.04999999999999999,13.261655855178834,27.625,0.625
105,252000,252000,0.04999999999999999,25.737209486961365,50.125,0.75
106,254400,254400,0.04999999999999999,14.576819705963135,60.75,0.75
107,256800,256800,0.04999999999999999,18.69605360031128,44.375,0.625
108,259200,259200,0.04999999999999999,11.237459444999695,48.25,0.875
109,261600,261600,0.04999999999999999,10.347961962223053,35.375,0.75
110,264000,264000,0.04999999999999999,13.437212371826172,44.125,0.75
111,266400,266400,0.04999999999999999,9.964621931314468,41.0,0.75
112,268800,268800,0.04999999999999999,7.917668199539184,57.625,0.75
113,271200,271200,0.04999999999999999,14.011904120445251,38.625,0.75
114,273600,273600,0.04999999999999999,17.92315320968628,14.75,0.5
115,276000,276000,0.04999999999999999,22.621171951293945,25.625,0.25
116,278400,278400,0.04999999999999999,14.996188735961914,34.625,0.625
117,280800,280800,0.04999999999999999,12.032354426383971,15.0,0.625
118,283200,283200,0.04999999999999999,9.46849992275238,39.625,0.75
119,285600,285600,0.04999999999999999,16.70819249153137,38.375,0.625
120,288000,288000,0.04999999999999999,7.380129766464234,52.5,1.0
121,290400,290400,0.04999999999999999,18.93942322731018,30.75,0.75
122,292800,292800,0.04999999999999999,14.556790280342103,40.625,0.625
123,295200,295200,0.04999999999999999,13.528213262557983,62.125,0.5
124,297600,297600,0.04999999999999999,14.023417091369629,49.875,0.75
125,300000,300000,0.04999999999999999,10.3811767578125,53.5,0.75
