episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,0.0,False,300,,3.3789131841545843,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",
1,1000001,257.0,True,300,44,0.8752564044577226,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.9318062808662252
2,1000002,231.0,True,300,70,2.1781185271928294,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.9454626203527541
3,1000003,0.0,False,300,,1.9534537402754597,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",
4,1000004,261.0,True,300,40,1.2434061137182977,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.978142018603893
5,1000005,270.0,True,300,31,0.5243100338767414,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.9182557014772786
6,1000006,196.0,True,300,105,3.069254540025387,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.9335271113538763
7,1000007,198.0,True,300,38,0.8963044536035408,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.9294987653569415
8,1000008,271.0,True,300,30,0.5431266561225614,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.8745658027375702
9,1000009,218.0,True,300,83,2.2875796545042317,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",0.8630097124228309
10,1000010,273.0,True,300,28,0.47868586170352145,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.896322569413905
11,1000011,232.0,True,300,69,1.704465705822292,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.9593541532258925
12,1000012,264.0,True,300,37,0.5560409295059925,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.7281405043057164
13,1000013,0.0,False,300,,3.6154747991340814,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",
14,1000014,251.0,True,300,50,0.4114604767285046,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.6075917716027883
15,1000015,268.0,True,300,33,0.5838018303175537,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.9340236347399677
16,1000016,167.0,True,300,134,3.0026259225787926,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.7454792086285064
17,1000017,273.0,True,300,28,0.6476596781210673,0.6000000000000002,"(0.13217183237761515, 0.7612787328431239)","(1.1514724220080352, 0.8291942492773791)",0.9264124667150299
18,1000018,141.0,True,300,160,3.097848348628079,2.3354866969255,"(-0.7789836384702132, -0.7500078160277028)","(0.8359879712703817, 0.7877127318758786)",0.7539060774100835
19,1000019,202.0,True,300,99,1.9578300713405796,1.8767144629423402,"(-0.09347463811983076, 0.7687442939396321)","(0.8840994750280944, -0.996015294111607)",0.958568616558894
20,1000020,243.0,True,300,58,2.0782975716568237,1.8960357139169721,"(0.957021565837876, 0.8403232385934718)","(-0.053626490787756, -1.1533162415829064)",0.9123023284896821
21,1000021,210.0,True,300,77,2.4804423400855797,2.107480037106538,"(-1.0920099191105077, -1.0479596860765703)","(1.109612802196493, 0.010429365241071908)",0.8496387934717428
22,1000022,207.0,True,300,94,2.5018648462746658,2.0687612102800825,"(1.1303234849854376, 1.0934008202364405)","(-0.10218309813274767, -0.8960256703351812)",0.8268876767506108
23,1000023,0.0,False,300,,2.177088420296958,2.832797715253761,"(0.10571894219860428, 0.8177355912335362)","(-0.8960589739141526, -1.1370952266754706)",
24,1000024,229.0,True,300,72,1.87915197632347,1.641227766016836,"(1.117756415850815, 1.1439159353762745)","(-0.9379632959449571, 0.9540394460031347)",0.8733874570527664
25,1000025,179.0,True,300,46,1.1280299713997461,1.0050917787211613,"(-0.16717286488974165, -0.9953637620071333)","(1.0500469609556422, -0.22735132223226806)",0.8910151363034852
26,1000026,236.0,True,300,65,1.7551002173709473,1.7040569415042075,"(1.0681490916332572, 0.8023239819013355)","(-1.0597684340895965, 0.922936061695784)",0.970917173069923
27,1000027,287.0,True,300,14,0.1899220022638339,0.17905694150420948,"(0.9925404832229593, -0.24398983740277141)","(1.1517841687991628, -0.8503876403944852)",0.9427919849721729
