phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,62.0,0.4,110.25,0.7452033544885933,88.94167015328176,30
finetune,15000,15000,61.233333333333334,0.4,88.0,0.710450158455675,91.24415270196138,30
finetune,30000,30000,52.56666666666667,0.36666666666666664,90.72727272727273,0.7316103155603589,86.32963423486999,30
finetune,45000,45000,115.93333333333334,0.6333333333333333,89.10526315789474,0.798291365149881,104.9873336640428,30
finetune,60000,60000,131.86666666666667,0.6333333333333333,73.42105263157895,0.8415594797281355,113.55227668448522,30
finetune,75000,75000,135.86666666666667,0.6666666666666666,76.25,0.8378793842865264,110.24478510876676,30
finetune,90000,90000,141.33333333333334,0.7,88.28571428571429,0.8107522717936342,107.68803389271326,30
finetune,105000,105000,162.43333333333334,0.8,91.54166666666667,0.8400901617397696,99.4490628007827,30
finetune,120000,120000,176.43333333333334,0.8,74.25,0.8521313372033511,98.04491698770741,30
finetune,135000,135000,182.8,0.8333333333333334,80.12,0.8526921293610842,93.72755823349819,30
finetune,150000,150000,180.0,0.8,75.625,0.8602947416869547,99.53962995226817,30
finetune,165000,165000,177.46666666666667,0.8,77.375,0.857247847217109,100.1312012874327,30
finetune,180000,180000,184.56666666666666,0.8333333333333334,79.04,0.8743903228640755,98.75769139259687,30
finetune,195000,195000,185.43333333333334,0.8333333333333334,74.68,0.8717587641822655,95.2277427460388,30
finetune,210000,210000,186.9,0.8,67.375,0.8751386799720148,102.69417268495947,30
finetune,225000,225000,192.4,0.8333333333333334,67.4,0.8747678852751389,94.17064481475948,30
finetune,240000,240000,195.8,0.8333333333333334,64.48,0.8889167406157145,94.38746263910411,30
finetune,255000,255000,203.53333333333333,0.9,74.33333333333333,0.8883521676623289,82.45196442039212,30
finetune,270000,270000,216.2,0.9,59.22222222222222,0.9033168191959808,79.53459451168361,30
finetune,285000,285000,207.8,0.8666666666666667,60.19230769230769,0.9048238414223715,90.32103661480207,30
finetune,300000,300000,209.8,0.8666666666666667,58.92307692307692,0.9083259767269769,90.356535171928,30
finetune,300000,300000,208.36666666666667,0.8666666666666667,60.26923076923077,0.8994605432362597,91.01969598648012,30
