phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,16.533333333333335,0.13333333333333333,113.25,0.7692130574194429,48.823915376008905,30
finetune,15000,15000,20.7,0.2,89.83333333333333,0.8305508288305649,54.14039858202643,30
finetune,30000,30000,20.1,0.2,76.5,0.8590242201540987,50.81497878544788,30
finetune,45000,45000,26.833333333333332,0.2,68.16666666666667,0.8568210314787335,68.38334306828969,30
finetune,60000,60000,27.833333333333332,0.2,75.16666666666667,0.8433522271977938,65.7319967922689,30
finetune,75000,75000,50.7,0.4,81.91666666666667,0.8234431424920281,79.9129483271943,30
finetune,90000,90000,44.666666666666664,0.4,74.91666666666667,0.8341165213827292,72.41467432414002,30
finetune,105000,105000,75.73333333333333,0.43333333333333335,71.38461538461539,0.8230933041354406,96.02332092215693,30
finetune,120000,120000,129.06666666666666,0.7333333333333333,79.77272727272727,0.8038678734897607,99.42036609971973,30
finetune,135000,135000,148.56666666666666,0.7,67.19047619047619,0.8408450959834913,105.44247764517876,30
finetune,150000,150000,165.3,0.7333333333333333,62.13636363636363,0.8478106125684112,107.13354540816869,30
finetune,165000,165000,158.26666666666668,0.7666666666666667,75.78260869565217,0.8269773849632537,104.232476682665,30
finetune,180000,180000,162.3,0.7666666666666667,74.65217391304348,0.8583720884587172,104.37173286234953,30
finetune,195000,195000,181.93333333333334,0.8,70.91666666666667,0.8594774483353648,98.37855574201654,30
finetune,210000,210000,183.36666666666667,0.8,69.75,0.8732432872632024,99.43165503494603,30
finetune,225000,225000,183.33333333333334,0.8,71.83333333333333,0.8803273197728961,104.54740991311182,30
finetune,240000,240000,190.46666666666667,0.8333333333333334,72.44,0.8994026348928661,94.71471987457673,30
finetune,255000,255000,191.63333333333333,0.8666666666666667,77.03846153846153,0.8839469947324889,85.09892147836898,30
finetune,270000,270000,204.03333333333333,0.9,74.29629629629629,0.8869237669952665,79.65030611597055,30
finetune,285000,285000,206.13333333333333,0.9,70.0,0.8945156533417626,76.57483755860301,30
finetune,300000,300000,208.43333333333334,0.9,67.88888888888889,0.8998539756992788,76.9933643953785,30
finetune,300000,300000,213.6,0.9,63.666666666666664,0.9121903362287241,78.31527793873101,30
