phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,192.76666666666668,0.8333333333333334,69.04,0.9186774655604596,95.38802185098335,30
finetune,15000,15000,196.9,0.8666666666666667,71.73076923076923,0.9134012029610196,86.63771178562068,30
finetune,30000,30000,199.53333333333333,0.8666666666666667,70.5,0.9098514289904169,87.96266188024025,30
finetune,45000,45000,194.7,0.8666666666666667,75.84615384615384,0.8997947584341399,86.6189236312394,30
finetune,60000,60000,199.13333333333333,0.8666666666666667,71.11538461538461,0.9150179481585285,87.17510453434922,30
finetune,75000,75000,200.33333333333334,0.8666666666666667,69.73076923076923,0.9164055751982012,86.53655131008908,30
finetune,90000,90000,203.53333333333333,0.8666666666666667,66.15384615384616,0.9131950840781802,86.94974106496446,30
finetune,105000,105000,206.23333333333332,0.8666666666666667,63.03846153846154,0.9176644007067843,86.87910082936828,30
finetune,120000,120000,204.3,0.8666666666666667,65.26923076923077,0.904320054610148,85.94230221692241,30
finetune,135000,135000,206.86666666666667,0.8666666666666667,62.30769230769231,0.9139790165594885,89.32109197308532,30
finetune,150000,150000,205.7,0.8666666666666667,63.65384615384615,0.9166947076181399,91.17779145807609,30
finetune,165000,165000,201.93333333333334,0.8333333333333334,58.68,0.9110604502849527,99.11676615655566,30
finetune,180000,180000,203.63333333333333,0.8333333333333334,56.64,0.89845801999153,98.75447901962109,30
finetune,195000,195000,202.43333333333334,0.8333333333333334,58.08,0.9056624902942834,98.47376101883893,30
finetune,210000,210000,212.23333333333332,0.8666666666666667,56.11538461538461,0.9081863533230895,90.27111782094913,30
finetune,225000,225000,211.73333333333332,0.8666666666666667,56.69230769230769,0.9070785374194857,90.06355355059515,30
finetune,240000,240000,207.53333333333333,0.8333333333333334,51.96,0.9124012990039371,98.31326894460744,30
finetune,255000,255000,208.46666666666667,0.8333333333333334,50.84,0.9198836871803152,98.48358285498159,30
finetune,270000,270000,210.36666666666667,0.8333333333333334,48.56,0.9314987055828325,98.52620282786788,30
finetune,285000,285000,210.0,0.8666666666666667,57.61538461538461,0.9276901792220801,92.09365547805312,30
finetune,300000,300000,210.2,0.8666666666666667,58.46153846153846,0.920504344848239,90.40880335530346,30
finetune,300000,300000,214.03333333333333,0.8666666666666667,54.03846153846154,0.9282302884201585,89.43982116035006,30
