episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
28,1000028,225.0,True,300,76,2.559691513404821,1.8985157486116178,"(0.8942404732929252, 0.13363081788938336)","(-1.1408042861046577, 1.0446560197333312)",0.741697090711635
29,1000029,168.0,True,300,66,1.8240086205421278,1.428398590529465,"(1.0497726414055228, -1.1449807279698316)","(-0.7876500410048815, -0.8911451121218853)",0.7831095612393101
30,1000030,209.0,True,300,64,1.244286870229458,1.0579912177625654,"(-0.12111508120063519, 0.904708520206666)","(0.7757263883211754, -0.12024302267869652)",0.850279178440147
31,1000031,178.0,True,300,123,3.0511892182000553,2.224038774053281,"(1.1595639445214367, -1.139432500713627)","(-0.1969547814181622, 0.9282279514688769)",0.7289088335744962
32,1000032,160.0,True,300,106,3.761177400880311,3.0158906757344113,"(1.127015191898848, 0.9377934621741972)","(-1.202106102787887, -0.9427688623446786)",0.8018474946245652
33,1000033,0.0,False,300,,2.069783648236309,2.8695111538007714,"(0.2382092218779729, 0.8804726047675387)","(-1.110256687954068, -0.7631361687818161)",
34,1000034,232.0,True,300,62,1.5898824288888864,1.5581138830084174,"(-0.9343054138344531, -0.9356294915617984)","(1.0535262915187014, -1.0978259253583562)",0.980018304936755
35,1000035,252.0,True,300,28,0.5189194202751417,0.4500000000000001,"(1.1508173939223743, -0.01713559225674488)","(1.085568192491471, -0.9085342543134849)",0.867186662163079
36,1000036,0.0,False,300,,0.7695620401526554,4.425030335355206,"(-1.2420508318574908, -0.8800458536382145)","(-1.194808250893988, 1.0068844947590878)",
37,1000037,0.0,False,300,,2.695263739512719,2.584828345950756,"(0.9280548547889936, -1.0268893052516816)","(-0.7565518922329351, 0.8364769636259789)",
38,1000038,202.0,True,300,99,3.3460380005783024,3.0679422289591733,"(-1.099000760750412, -0.8564670737783278)","(0.93786753697942, 1.1653022223159974)",0.9168880414475075
39,1000039,275.0,True,300,26,0.4819858396447181,0.4472135954999579,"(0.04242921454432569, 0.8118181357047414)","(-0.7531921064073427, 1.1914761385722317)",0.9278562951758261
40,1000040,0.0,False,300,,0.6455764021117341,1.929578270956174,"(0.16056901378171806, -1.2480919963299688)","(0.22582239227562423, 0.7760342264230129)",
41,1000041,250.0,True,300,22,0.48231466999068173,0.4312658056650537,"(0.7536758678282087, 0.10227430201681043)","(1.1934918380352553, 0.8551017493914017)",0.8941585908497988
42,1000042,252.0,True,300,49,0.6560172767083516,0.5290569415042096,"(0.863680742414508, 1.1242738835596315)","(-0.09846036753712106, 1.0701441636854137)",0.8064680005972078
43,1000043,118.0,True,300,71,1.7355686912646184,1.7025334442632447,"(-0.9798879296490071, -1.1309143411407538)","(0.8419666733991373, -0.1633305088724164)",0.9809657507837949
44,1000044,232.0,True,300,69,1.6422142583496302,1.6283985905294642,"(-1.110557821847047, -1.2071364590562874)","(0.9443986848493842, -0.9623687068420197)",0.9915871709492705
45,1000045,73.0,True,300,9,0.10649589280589311,0.1,"(1.0726963432631704, 0.23924604646735848)","(1.0640344413491138, 0.7878579809705415)",0.9390033490048957
46,1000046,82.0,True,300,26,0.4339373498302065,0.39122776601683795,"(0.7872095128447305, -0.9967604025353909)","(0.943208907546812, -0.18275209427435113)",0.90157661277583
47,1000047,259.0,True,300,42,0.7438002946673269,0.6883572314711708,"(-0.15732890712204894, 1.0262179304247099)","(-1.2478957355644622, 0.7738044655417053)",0.9254597455880901
48,1000048,19.0,True,300,282,3.139390610659606,2.7925748033215356,"(-0.8456534783543095, 0.9989679160198354)","(0.08865011135674389, -0.8892944427992356)",0.8895276662418244
49,1000049,182.0,True,300,74,1.806527207447752,1.7494390718535588,"(-1.0546670218056766, 0.7713043058644282)","(0.8298303562848478, 0.11222652975086217)",0.9683989616326637
50,1000050,263.0,True,300,38,0.8767078028574142,0.8250000000000004,"(0.13506370973920157, 1.1186056696134634)","(-1.1315249684797557, 1.010403758474146)",0.9410204828919225
51,1000051,254.0,True,300,47,1.8871701896589892,1.8499999999999974,"(0.8273866226150823, -1.1315270489588427)","(0.9256943780726385, 1.1556758171212578)",0.9803037426816771
52,1000052,91.0,True,300,53,1.5398971334600504,1.520284707521046,"(-0.9994142129924646, 1.0690896845722366)","(0.9268718232174256, 0.8319793128108302)",0.9872638077486795
53,1000053,249.0,True,300,52,1.106590189932053,1.0014653826607753,"(0.245340900327484, 1.1678863758895752)","(0.7931388226322461, -0.15373339144509646)",0.9050011393307829
54,1000054,248.0,True,300,53,1.2927150499201316,1.2708684447506529,"(-0.23375963357466756, -1.1386270674246695)","(1.068931602457236, -0.041693645737881146)",0.9831002159595585
55,1000055,196.0,True,300,105,3.237671497915593,2.9922838779844314,"(-0.9457923069408332, 0.8407254863009592)","(1.0995420745328741, -1.2135399974350751)",0.9242086110066627
56,1000056,237.0,True,300,54,1.2895379980478805,1.2367980154909657,"(-0.24661273089825447, -1.149824406909157)","(1.1655585858551722, -0.24120997113311815)",0.9591016452118873
57,1000057,0.0,False,300,,2.4429355941179587,2.925983641729495,"(-0.9144046943522715, -1.2280061117358951)","(0.19237094119260179, 0.9899384903962225)",
58,1000058,0.0,False,300,,2.476514773614069,2.6624920852049456,"(0.7817330737232291, -0.8230834974897787)","(-0.993080908455042, 1.1596623880439867)",
59,1000059,265.0,True,300,36,0.7641463409175773,0.6033985905294665,"(0.03935331779744122, 0.9821965880831802)","(1.0718500327645861, 1.184179416044281)",0.7896374793929042
60,1000060,0.0,False,300,,1.9341103613605104,4.20068868632995,"(-1.2109976372569573, 0.8976692051308042)","(-1.0351976799295977, -0.8729459849822427)",
61,1000061,231.0,True,300,70,1.9710166225110057,1.9196263565463012,"(-1.1783154176445025, -0.7529878735571698)","(1.137899477520484, -1.111500418170655)",0.9739270255878232
62,1000062,119.0,True,300,182,2.545639643804161,2.3152977162430592,"(-0.24520006608218414, 1.146750391110595)","(0.20662295647821266, -1.040377639702679)",0.909515108266902
63,1000063,273.0,True,300,28,0.4193578080215976,0.408113883008419,"(1.0855981473805507, -0.9227191493372773)","(0.9907321702227488, -0.0780570161526562)",0.9731877532787001
64,1000064,247.0,True,300,54,1.2141956974053048,1.203658635108561,"(0.1168616003597594, -1.2426496024133669)","(1.0673981639377732, 0.10243931205234863)",0.9913217759548472
