episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,0.0,False,300,,3.3049929755668837,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",
1,1000001,246.0,True,300,55,0.887243146606366,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.9192174863920705
2,1000002,227.0,True,300,74,2.15375317041808,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.9561586157799424
3,1000003,0.0,False,300,,1.927690787968586,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",
4,1000004,233.0,True,300,68,1.358961711411898,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.8949683834382894
5,1000005,260.0,True,300,36,0.5747674554300943,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.8376442914444361
6,1000006,194.0,True,300,107,3.1181967523775698,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.9188747703540455
7,1000007,256.0,True,300,45,0.8735845209612589,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.9536728994370146
8,1000008,271.0,True,300,30,0.5023114627509713,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.9456284302145993
9,1000009,192.0,True,300,74,2.1104329341800003,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",0.93544951265892
10,1000010,273.0,True,300,28,0.47868586170352145,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.896322569413905
11,1000011,234.0,True,300,67,1.687187741816671,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.9691786002137732
12,1000012,275.0,True,300,26,0.4311851062290317,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.93898401632188
13,1000013,0.0,False,300,,2.944615272979471,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",
14,1000014,276.0,True,300,25,0.286952775797483,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.8712234941976569
15,1000015,268.0,True,300,33,0.5600819820107946,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.9735801633242649
16,1000016,214.0,True,300,87,2.3789234072477754,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.9409278120312086
17,1000017,262.0,True,300,39,0.6778976146079875,0.6000000000000002,"(0.13217183237761515, 0.7612787328431239)","(1.1514724220080352, 0.8291942492773791)",0.8850894103631952
18,1000018,200.0,True,300,101,2.4227920515621633,2.3354866969255,"(-0.7789836384702132, -0.7500078160277028)","(0.8359879712703817, 0.7877127318758786)",0.9639649822276861
19,1000019,213.0,True,300,88,1.9325596193717243,1.8767144629423402,"(-0.09347463811983076, 0.7687442939396321)","(0.8840994750280944, -0.996015294111607)",0.9711030097754297
20,1000020,236.0,True,300,65,2.0328432554455795,1.8960357139169721,"(0.957021565837876, 0.8403232385934718)","(-0.053626490787756, -1.1533162415829064)",0.9327013820853489
21,1000021,220.0,True,300,81,2.228877669088618,2.107480037106538,"(-1.0920099191105077, -1.0479596860765703)","(1.109612802196493, 0.010429365241071908)",0.945534188050922
22,1000022,225.0,True,300,76,2.205069463871534,2.0687612102800825,"(1.1303234849854376, 1.0934008202364405)","(-0.10218309813274767, -0.8960256703351812)",0.9381841452957544
23,1000023,0.0,False,300,,1.8180450211750516,2.832797715253761,"(0.10571894219860428, 0.8177355912335362)","(-0.8960589739141526, -1.1370952266754706)",
24,1000024,238.0,True,300,63,1.6912817245963225,1.641227766016836,"(1.117756415850815, 1.1439159353762745)","(-0.9379632959449571, 0.9540394460031347)",0.9704047185920882
25,1000025,255.0,True,300,46,1.051128890525055,1.0050917787211613,"(-0.16717286488974165, -0.9953637620071333)","(1.0500469609556422, -0.22735132223226806)",0.9562022200903473
26,1000026,238.0,True,300,63,1.7182451109691494,1.7040569415042075,"(1.0681490916332572, 0.8023239819013355)","(-1.0597684340895965, 0.922936061695784)",0.991742639409031
27,1000027,286.0,True,300,15,0.20466232075006138,0.17905694150420948,"(0.9925404832229593, -0.24398983740277141)","(1.1517841687991628, -0.8503876403944852)",0.874889627206359
28,1000028,207.0,True,300,94,2.0239443117004536,1.8985157486116178,"(0.8942404732929252, 0.13363081788938336)","(-1.1408042861046577, 1.0446560197333312)",0.9380276609570078
29,1000029,209.0,True,300,53,1.5443689770377242,1.428398590529465,"(1.0497726414055228, -1.1449807279698316)","(-0.7876500410048815, -0.8911451121218853)",0.924907591234639
30,1000030,224.0,True,300,77,1.1762714679711408,1.0579912177625654,"(-0.12111508120063519, 0.904708520206666)","(0.7757263883211754, -0.12024302267869652)",0.8994447681260281
31,1000031,211.0,True,300,90,2.353506268620871,2.224038774053281,"(1.1595639445214367, -1.139432500713627)","(-0.1969547814181622, 0.9282279514688769)",0.9449895263531818
32,1000032,199.0,True,300,102,3.658543502050502,3.0158906757344113,"(1.127015191898848, 0.9377934621741972)","(-1.202106102787887, -0.9427688623446786)",0.8243418928992088
33,1000033,0.0,False,300,,2.2365456470581,2.8695111538007714,"(0.2382092218779729, 0.8804726047675387)","(-1.110256687954068, -0.7631361687818161)",
34,1000034,229.0,True,300,72,1.6425780174524065,1.5581138830084174,"(-0.9343054138344531, -0.9356294915617984)","(1.0535262915187014, -1.0978259253583562)",0.9485783119300533
35,1000035,258.0,True,300,31,0.5243100338767415,0.4500000000000001,"(1.1508173939223743, -0.01713559225674488)","(1.085568192491471, -0.9085342543134849)",0.8582708148320299
36,1000036,0.0,False,300,,1.9721807687926738,4.425030335355206,"(-1.2420508318574908, -0.8800458536382145)","(-1.194808250893988, 1.0068844947590878)",
37,1000037,0.0,False,300,,2.451512326795668,2.584828345950756,"(0.9280548547889936, -1.0268893052516816)","(-0.7565518922329351, 0.8364769636259789)",
38,1000038,191.0,True,300,110,3.199031462034119,3.0679422289591733,"(-1.099000760750412, -0.8564670737783278)","(0.93786753697942, 1.1653022223159974)",0.959022211994254
39,1000039,271.0,True,300,30,0.4659714095517124,0.4472135954999579,"(0.04242921454432569, 0.8118181357047414)","(-0.7531921064073427, 1.1914761385722317)",0.9597447103679593
40,1000040,149.0,True,300,152,2.2316047640240644,1.929578270956174,"(0.16056901378171806, -1.2480919963299688)","(0.22582239227562423, 0.7760342264230129)",0.8646595051521258
41,1000041,274.0,True,300,27,0.4608540603607624,0.4312658056650537,"(0.7536758678282087, 0.10227430201681043)","(1.1934918380352553, 0.8551017493914017)",0.9357969100401402
