episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,0.0,False,300,,2.9277637532850713,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",
1,1000001,253.0,True,300,48,0.8524749426829173,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.9567077860087325
2,1000002,204.0,True,300,97,2.092560861416136,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.9841193573528692
3,1000003,0.0,False,300,,1.8508136593574138,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",
4,1000004,248.0,True,300,53,1.2441578256427774,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.977551031669547
5,1000005,272.0,True,300,29,0.49995091888915927,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.9629958857137375
6,1000006,171.0,True,300,130,3.080833185562941,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.9300186515084309
7,1000007,263.0,True,300,38,0.8790015885498556,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.9477956511806308
8,1000008,279.0,True,300,22,0.46926225430306556,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",1.0122271621983663
9,1000009,0.0,False,300,,2.27563388620559,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",
10,1000010,272.0,True,300,29,0.4741828831249408,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.9048343092366724
11,1000011,208.0,True,300,77,1.7170919126289044,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.9522997819075468
12,1000012,262.0,True,300,39,0.5086393862580154,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.7959979776708306
13,1000013,0.0,False,300,,2.0775753803186827,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",
14,1000014,248.0,True,300,53,0.41466110812666485,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.6029019724792553
15,1000015,273.0,True,300,28,0.5809007563611535,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.9386882381369063
16,1000016,207.0,True,300,94,2.3215339334865996,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.9641880156409084
17,1000017,271.0,True,300,30,0.6300225994613272,0.6000000000000002,"(0.13217183237761515, 0.7612787328431239)","(1.1514724220080352, 0.8291942492773791)",0.9523467896437421
18,1000018,201.0,True,300,100,2.4902830640464675,2.3354866969255,"(-0.7789836384702132, -0.7500078160277028)","(0.8359879712703817, 0.7877127318758786)",0.9378398506756744
19,1000019,199.0,True,300,102,1.9838414153047643,1.8767144629423402,"(-0.09347463811983076, 0.7687442939396321)","(0.8840994750280944, -0.996015294111607)",0.9460002440033913
20,1000020,215.0,True,300,86,1.9586779162397738,1.8960357139169721,"(0.957021565837876, 0.8403232385934718)","(-0.053626490787756, -1.1533162415829064)",0.9680181198739092
21,1000021,220.0,True,300,81,2.3164145162209775,2.107480037106538,"(-1.0920099191105077, -1.0479596860765703)","(1.109612802196493, 0.010429365241071908)",0.9098026378045251
22,1000022,95.0,True,300,206,2.301649480856746,2.0687612102800825,"(1.1303234849854376, 1.0934008202364405)","(-0.10218309813274767, -0.8960256703351812)",0.8988167952967474
23,1000023,0.0,False,300,,1.2887518237916507,2.832797715253761,"(0.10571894219860428, 0.8177355912335362)","(-0.8960589739141526, -1.1370952266754706)",
24,1000024,225.0,True,300,76,1.732121774261433,1.641227766016836,"(1.117756415850815, 1.1439159353762745)","(-0.9379632959449571, 0.9540394460031347)",0.9475244699332103
25,1000025,251.0,True,300,50,1.111581713039746,1.0050917787211613,"(-0.16717286488974165, -0.9953637620071333)","(1.0500469609556422, -0.22735132223226806)",0.904199634566337
26,1000026,229.0,True,300,72,1.8060403091466957,1.7040569415042075,"(1.0681490916332572, 0.8023239819013355)","(-1.0597684340895965, 0.922936061695784)",0.9435320645248098
27,1000027,275.0,True,300,26,0.2270137877875004,0.17905694150420948,"(0.9925404832229593, -0.24398983740277141)","(1.1517841687991628, -0.8503876403944852)",0.7887491911804863
28,1000028,217.0,True,300,84,2.0941212953182244,1.8985157486116178,"(0.8942404732929252, 0.13363081788938336)","(-1.1408042861046577, 1.0446560197333312)",0.9065930196383958
29,1000029,225.0,True,300,76,1.5306654058399511,1.428398590529465,"(1.0497726414055228, -1.1449807279698316)","(-0.7876500410048815, -0.8911451121218853)",0.933188001165828
30,1000030,188.0,True,300,113,1.3380848052078813,1.0579912177625654,"(-0.12111508120063519, 0.904708520206666)","(0.7757263883211754, -0.12024302267869652)",0.7906757581020425
