phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,0.0,0.0,nan,nan,0.0,30
finetune,16800,16800,0.0,0.0,nan,nan,0.0,30
finetune,33600,33600,18.333333333333332,0.26666666666666666,119.375,0.5313294093138912,55.67661140435241,30
finetune,50400,50400,28.133333333333333,0.5666666666666667,79.58823529411765,0.6091909652766384,47.52475459011414,30
finetune,67200,67200,18.766666666666666,0.36666666666666664,65.9090909090909,0.6544714457521574,44.87813639665513,30
finetune,84000,84000,19.7,0.3333333333333333,154.3,0.636717668814485,50.27109267382885,30
finetune,100800,100800,51.1,0.7666666666666667,110.26086956521739,0.5338169488318883,70.27352962187997,30
finetune,117600,117600,30.233333333333334,0.6666666666666666,84.95,0.6590930166589943,34.259338856005016,30
finetune,134400,134400,33.43333333333333,0.8,82.29166666666667,0.6067979163873787,36.034163227973394,30
finetune,151200,151200,32.3,0.5666666666666667,120.88235294117646,0.6164697267660512,53.441653649822484,30
finetune,168000,168000,28.466666666666665,0.3,67.55555555555556,0.6586738215144874,72.11472341577227,30
finetune,184800,184800,48.63333333333333,0.6666666666666666,111.55,0.603280589416568,69.05394359800736,30
finetune,201600,201600,28.5,0.5333333333333333,82.6875,0.533192436883493,44.831292950195035,30
finetune,218400,218400,35.166666666666664,0.9,96.96296296296296,0.583659601183069,30.559250908553928,30
finetune,235200,235200,59.5,0.8,102.79166666666667,0.6091254149213949,84.29003704369566,30
finetune,252000,252000,23.966666666666665,0.6,65.61111111111111,0.667063897873399,38.22662308710616,30
finetune,268800,268800,35.96666666666667,0.7,65.04761904761905,0.6655470222373521,54.46510007735946,30
finetune,285600,285600,53.86666666666667,0.7,61.61904761904762,0.6362463989651396,63.42507571840225,30
finetune,300000,300000,50.5,0.6333333333333333,97.21052631578948,0.641029795927885,75.38441712202587,30
