episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,0.0,False,300,,2.6317628062658995,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",
1,1000001,263.0,True,300,38,0.8738498332723297,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.9333061402415214
2,1000002,230.0,True,300,71,2.087762090819936,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.9863813789960351
3,1000003,0.0,False,300,,0.2982530004852189,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",
4,1000004,179.0,True,300,45,1.272614465988656,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.9556922371395382
5,1000005,68.0,True,300,29,0.49995091888915927,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.9629958857137375
6,1000006,197.0,True,300,104,3.5114276628296306,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.8159736152590329
7,1000007,259.0,True,300,42,0.9326209037626729,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.8933038919106455
8,1000008,276.0,True,300,25,0.5301588901445451,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.895957813459459
9,1000009,109.0,True,300,75,2.0803095671815144,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",0.948995039451145
10,1000010,273.0,True,300,28,0.46650291396105603,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.9197304639773964
11,1000011,246.0,True,300,55,1.7643680647300843,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.9267829579322335
12,1000012,275.0,True,300,26,0.426328008424968,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.9496817352462763
13,1000013,0.0,False,300,,3.1300872518586544,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",
14,1000014,266.0,True,300,35,0.41679640552409936,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.5998132341991728
15,1000015,246.0,True,300,55,0.797098180071597,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.6840872569450213
16,1000016,203.0,True,300,98,2.3248636539641856,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.9628070845164322
17,1000017,269.0,True,300,32,0.609222319020089,0.6000000000000002,"(0.13217183237761515, 0.7612787328431239)","(1.1514724220080352, 0.8291942492773791)",0.9848621451772768
18,1000018,188.0,True,300,103,2.410201273302909,2.3354866969255,"(-0.7789836384702132, -0.7500078160277028)","(0.8359879712703817, 0.7877127318758786)",0.9690006900232772
19,1000019,221.0,True,300,80,2.094249067501299,1.8767144629423402,"(-0.09347463811983076, 0.7687442939396321)","(0.8840994750280944, -0.996015294111607)",0.8961276345136424
20,1000020,233.0,True,300,68,2.013166113605613,1.8960357139169721,"(0.957021565837876, 0.8403232385934718)","(-0.053626490787756, -1.1533162415829064)",0.9418178167727758
21,1000021,207.0,True,300,94,2.368003019501461,2.107480037106538,"(-1.0920099191105077, -1.0479596860765703)","(1.109612802196493, 0.010429365241071908)",0.8899819889377627
22,1000022,224.0,True,300,77,2.196864994319254,2.0687612102800825,"(1.1303234849854376, 1.0934008202364405)","(-0.10218309813274767, -0.8960256703351812)",0.9416879123794918
23,1000023,0.0,False,300,,1.8620449896516273,2.832797715253761,"(0.10571894219860428, 0.8177355912335362)","(-0.8960589739141526, -1.1370952266754706)",
24,1000024,236.0,True,300,65,1.7662752009933735,1.641227766016836,"(1.117756415850815, 1.1439159353762745)","(-0.9379632959449571, 0.9540394460031347)",0.9292027454689906
25,1000025,239.0,True,300,62,1.2817419010798665,1.0050917787211613,"(-0.16717286488974165, -0.9953637620071333)","(1.0500469609556422, -0.22735132223226806)",0.7841608188624967
26,1000026,243.0,True,300,58,1.8050967668657896,1.7040569415042075,"(1.0681490916332572, 0.8023239819013355)","(-1.0597684340895965, 0.922936061695784)",0.9440252582486097
27,1000027,285.0,True,300,16,0.23211595746057395,0.17905694150420948,"(0.9925404832229593, -0.24398983740277141)","(1.1517841687991628, -0.8503876403944852)",0.7714115973031418
