phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,7.8,0.26666666666666666,68.625,0.626581244980811,17.74415882519634,30
finetune,15000,15000,53.43333333333333,0.7333333333333333,122.5,0.4833780436767977,46.534142699544915,30
finetune,30000,30000,29.533333333333335,0.6,111.16666666666667,0.5437320797771901,38.27552863062799,30
finetune,45000,45000,24.566666666666666,0.5333333333333333,117.375,0.6140181107555709,34.734146305044405,30
finetune,60000,60000,15.966666666666667,0.5,101.6,0.7319935766860165,19.39691289574342,30
finetune,75000,75000,33.666666666666664,0.5333333333333333,111.9375,0.6735289402326761,49.296662357001715,30
finetune,90000,90000,28.733333333333334,0.5333333333333333,73.75,0.684057841933412,44.18997649907166,30
finetune,105000,105000,62.96666666666667,0.6666666666666666,58.25,0.7443711643333707,77.85241711452967,30
finetune,120000,120000,68.86666666666666,0.6666666666666666,68.3,0.7235444824581477,86.88507404585683,30
finetune,135000,135000,65.53333333333333,0.7666666666666667,67.8695652173913,0.734944612931869,69.33811875616237,30
finetune,150000,150000,79.5,0.8,67.25,0.7180217135865052,84.72745351602599,30
finetune,165000,165000,88.7,0.8333333333333334,66.48,0.7555026192703312,73.93946732014106,30
finetune,180000,180000,96.46666666666667,0.7666666666666667,70.08695652173913,0.761417554713957,90.92389137618619,30
finetune,195000,195000,113.23333333333333,0.7333333333333333,78.0909090909091,0.7844580993163358,100.88630792350754,30
finetune,210000,210000,112.53333333333333,0.7,78.0,0.8142993522804579,99.0728514026798,30
finetune,225000,225000,134.03333333333333,0.7333333333333333,80.63636363636364,0.8173310971120831,103.59619329091112,30
finetune,240000,240000,177.1,0.8333333333333334,78.96,0.8440924986484879,91.45089128729899,30
finetune,255000,255000,176.06666666666666,0.8,76.91666666666667,0.8460563813533186,94.73372240611862,30
finetune,270000,270000,191.46666666666667,0.8333333333333334,66.96,0.8632053456695702,93.46831782364336,30
finetune,285000,285000,186.4,0.8333333333333334,65.24,0.8562777137442449,89.77158754881458,30
finetune,300000,300000,194.4,0.8333333333333334,66.0,0.8985969734288597,95.66449995543874,30
finetune,300000,300000,186.13333333333333,0.8,62.666666666666664,0.8910070432206599,100.85008790221781,30
