phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
scratch,0,0,22.566666666666666,0.23333333333333334,62.42857142857143,0.6364739421676885,65.93867753755985,30
scratch,15000,15000,32.2,0.43333333333333335,73.6923076923077,0.7721580569541893,56.32381746466679,30
scratch,30000,30000,53.1,0.5333333333333333,66.9375,0.7467149266355948,80.30517224721687,30
scratch,45000,45000,42.96666666666667,0.4666666666666667,86.92857142857143,0.7022860435278181,76.1919007974367,30
scratch,60000,60000,57.43333333333333,0.5666666666666667,71.3529411764706,0.7653729909694181,81.48098290222475,30
scratch,75000,75000,62.833333333333336,0.6,90.88888888888889,0.7565400192732326,83.56830092529243,30
scratch,90000,90000,55.4,0.5333333333333333,88.0,0.7614689343573706,80.07996003995008,30
scratch,105000,105000,65.53333333333333,0.5666666666666667,76.6470588235294,0.7860142009686173,84.67411497693044,30
scratch,120000,120000,89.53333333333333,0.7,72.76190476190476,0.7828211441546413,98.90076298765459,30
scratch,135000,135000,82.36666666666666,0.6666666666666666,75.85,0.7963351881585203,94.20465005483553,30
scratch,150000,150000,89.4,0.6666666666666666,83.6,0.7718382955419847,99.69768094698541,30
scratch,165000,165000,110.2,0.7,90.04761904761905,0.8033728492179384,99.12910425472846,30
scratch,180000,180000,112.36666666666666,0.7666666666666667,86.30434782608695,0.7783519528517762,97.04903962406853,30
scratch,195000,195000,132.4,0.8,85.95833333333333,0.8231955405883706,91.93761002947072,30
scratch,210000,210000,159.73333333333332,0.9,92.14814814814815,0.79072565566932,91.12966636586586,30
scratch,225000,225000,169.23333333333332,0.9333333333333333,94.28571428571429,0.7985559408525241,76.5230113388634,30
scratch,240000,240000,178.8,0.9333333333333333,91.53571428571429,0.8344735024712733,66.93558406253808,30
scratch,255000,255000,181.1,0.9333333333333333,88.21428571428571,0.8350755171918082,66.0701560255565,30
scratch,270000,270000,199.23333333333332,0.9,74.33333333333333,0.8806347228229626,76.27748044467978,30
scratch,285000,285000,197.7,0.9,74.03703703703704,0.8845253625597292,78.99853774290536,30
scratch,300000,300000,208.53333333333333,0.9,68.11111111111111,0.920205783109313,77.04755957706648,30
scratch,300000,300000,202.03333333333333,0.9,69.92592592592592,0.9097818373222111,78.20198574660776,30
