phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,0.0,0.0,nan,nan,0.0,30
finetune,15000,15000,0.0,0.0,nan,nan,0.0,30
finetune,30000,30000,1.3666666666666667,0.06666666666666667,96.0,0.40527088856580035,5.281609820769664,30
finetune,45000,45000,1.2333333333333334,0.1,167.33333333333334,0.5224228997130419,3.8478236870257945,30
finetune,60000,60000,26.1,0.16666666666666666,31.2,0.961778107219301,73.51535143459306,30
finetune,75000,75000,29.8,0.26666666666666666,95.5,0.8767987719947709,73.5678902970489,30
finetune,90000,90000,30.833333333333332,0.3,92.66666666666667,0.8245538279683915,74.2261610788659,30
finetune,105000,105000,41.5,0.5666666666666667,111.17647058823529,0.6440805208419065,77.03369168858788,30
finetune,120000,120000,80.66666666666667,0.7,68.52380952380952,0.7640628400466907,98.0658938685101,30
finetune,135000,135000,79.3,0.6333333333333333,69.0,0.741730540787704,97.25903911542193,30
finetune,150000,150000,67.83333333333333,0.7,69.28571428571429,0.7332372786566482,81.4087529536675,30
finetune,165000,165000,54.63333333333333,0.6333333333333333,66.05263157894737,0.7952960958864647,82.77825940357201,30
finetune,180000,180000,77.2,0.6666666666666666,63.25,0.7944351628367878,95.46994471993574,30
finetune,195000,195000,78.36666666666666,0.7,55.23809523809524,0.7569934422920073,95.98508624577671,30
finetune,210000,210000,71.93333333333334,0.7,67.23809523809524,0.7580332044404475,91.18905459626676,30
finetune,225000,225000,81.46666666666667,0.7,63.333333333333336,0.7785716582080442,97.30390832187905,30
finetune,240000,240000,94.7,0.7333333333333333,58.5,0.7568454943026282,106.00720535042369,30
finetune,255000,255000,92.56666666666666,0.8,62.75,0.745043569524476,95.24693255385992,30
finetune,270000,270000,109.23333333333333,0.7333333333333333,54.59090909090909,0.8070714444256175,108.7289205359804,30
finetune,285000,285000,120.36666666666666,0.7333333333333333,51.90909090909091,0.8198327238827403,115.2195754839977,30
finetune,300000,300000,125.93333333333334,0.7666666666666667,46.82608695652174,0.829618815565738,112.08984491618021,30
finetune,300000,300000,141.43333333333334,0.7,46.476190476190474,0.8502151486561402,117.5692556966211,30
